trade_date,baseline_a4b16_execution_date,baseline_a4b16_portfolio_size,baseline_a4b16_portfolio_size_complete,baseline_a4b16_observed_return_count,baseline_a4b16_observed_return_ratio,baseline_a4b16_return_observation_complete,baseline_a4b16_gross_forward_return_proxy,baseline_a4b16_transaction_cost,baseline_a4b16_net_forward_return_proxy,baseline_a4b16_name_turnover,baseline_a4b16_buy_weight,baseline_a4b16_sell_weight,baseline_a4b16_gross_traded_weight,baseline_a4b16_half_l1_turnover,baseline_a4b16_one_way_turnover,baseline_a4b16_is_initial,baseline_a4b16_buy_limit_blocked_weight,baseline_a4b16_sell_limit_blocked_weight,baseline_a4b16_suspended_trade_weight,baseline_a4b16_unknown_tradability_weight,baseline_a4b16_blocked_gross_trade_weight,baseline_a4b16_blocked_trade_count,baseline_a4b16_tradability_audit_passed,baseline_a4b16_a_selected_count,baseline_a4b16_b_selected_count,baseline_a4b16_b_retained_count,baseline_a4b16_selected_symbols,baseline_a4b16_a_selected_symbols,baseline_a4b16_b_selected_symbols,challenger_incumbent_execution_date,challenger_incumbent_portfolio_size,challenger_incumbent_portfolio_size_complete,challenger_incumbent_observed_return_count,challenger_incumbent_observed_return_ratio,challenger_incumbent_return_observation_complete,challenger_incumbent_gross_forward_return_proxy,challenger_incumbent_transaction_cost,challenger_incumbent_net_forward_return_proxy,challenger_incumbent_name_turnover,challenger_incumbent_buy_weight,challenger_incumbent_sell_weight,challenger_incumbent_gross_traded_weight,challenger_incumbent_half_l1_turnover,challenger_incumbent_one_way_turnover,challenger_incumbent_is_initial,challenger_incumbent_buy_limit_blocked_weight,challenger_incumbent_sell_limit_blocked_weight,challenger_incumbent_suspended_trade_weight,challenger_incumbent_unknown_tradability_weight,challenger_incumbent_blocked_gross_trade_weight,challenger_incumbent_blocked_trade_count,challenger_incumbent_tradability_audit_passed,challenger_incumbent_retained_count,challenger_incumbent_buffered_incumbent_count,challenger_incumbent_new_position_count,challenger_incumbent_exited_count,challenger_incumbent_cash_weight,challenger_incumbent_selected_symbols,challenger_incumbent_policy_id,incumbent_challenger_overlap_count,incumbent_challenger_overlap_ratio,incumbent_challenger_changed_names,incumbent_challenger_common_return_complete,incumbent_challenger_challenger_minus_baseline_gross_forward_return_proxy,incumbent_challenger_challenger_minus_baseline_net_forward_return_proxy,incumbent_challenger_challenger_minus_baseline_one_way_turnover,incumbent_challenger_challenger_minus_baseline_name_turnover,single_side_cost_bps
2025-06-27,2025-06-30,20,True,20,1.0,True,-2.94977033414302e-05,0.0010000000000000002,-0.0010294977033414305,1.0,1.0000000000000002,0.0,1.0000000000000002,0.5000000000000001,1.0000000000000002,True,0.0,0.0,0.0,0.0,0.0,0,True,4,16,0,000498.SZ|000651.SZ|000725.SZ|002001.SZ|003816.SZ|600000.SH|600028.SH|600050.SH|600219.SH|600502.SH|600908.SH|601006.SH|601127.SH|601169.SH|601390.SH|601665.SH|601668.SH|601728.SH|601857.SH|601919.SH,000498.SZ|600502.SH|600908.SH|601665.SH,000651.SZ|000725.SZ|002001.SZ|003816.SZ|600000.SH|600028.SH|600050.SH|600219.SH|601006.SH|601127.SH|601169.SH|601390.SH|601668.SH|601728.SH|601857.SH|601919.SH,2025-06-30,10,False,10,1.0,True,-0.0028926898524838708,0.0005,-0.0033926898524838708,1.0,0.5,0.0,0.5,0.25,0.5,True,0.0,0.0,0.0,0.0,0.0,0,True,0,0,10,0,0.5,000001.SZ|000498.SZ|600039.SH|600064.SH|600502.SH|600908.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,6,0.25,9,True,-0.0028631921491424407,-0.0023631921491424402,-0.5000000000000002,0.0,10.0
2025-06-30,2025-07-01,20,True,20,1.0,True,0.005884835259655502,0.0005,0.005384835259655501,0.25,0.25,0.25,0.5,0.25,0.25,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000651.SZ|000725.SZ|002001.SZ|600000.SH|600050.SH|600219.SH|600502.SH|600582.SH|600905.SH|600908.SH|600941.SH|601006.SH|601169.SH|601390.SH|601668.SH|601728.SH|601818.SH|601857.SH|601868.SH|601919.SH,600502.SH|600908.SH|601169.SH|601818.SH,000651.SZ|000725.SZ|002001.SZ|600000.SH|600050.SH|600219.SH|600582.SH|600905.SH|600941.SH|601006.SH|601390.SH|601668.SH|601728.SH|601857.SH|601868.SH|601919.SH,2025-07-01,9,False,9,1.0,True,0.004286520284074874,5e-05,0.004236520284074874,0.0,0.0,0.05,0.05,0.025,0.025,False,0.0,0.0,0.0,0.0,0.0,0,True,9,2,0,1,0.55,000001.SZ|600039.SH|600064.SH|600502.SH|600908.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,4,0.16,10,True,-0.0015983149755806276,-0.0011483149755806268,-0.225,-0.25,10.0
2025-07-01,2025-07-02,20,True,20,1.0,True,0.007648233554080884,0.0006000000000000001,0.007048233554080885,0.30000000000000004,0.3,0.30000000000000004,0.6000000000000001,0.30000000000000004,0.30000000000000004,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000333.SZ|000651.SZ|600015.SH|600031.SH|600050.SH|600219.SH|600502.SH|600582.SH|600905.SH|600941.SH|601006.SH|601166.SH|601288.SH|601390.SH|601668.SH|601728.SH|601857.SH|601868.SH|601919.SH|601997.SH,600502.SH|601166.SH|601919.SH|601997.SH,000333.SZ|000651.SZ|600015.SH|600031.SH|600050.SH|600219.SH|600582.SH|600905.SH|600941.SH|601006.SH|601288.SH|601390.SH|601668.SH|601728.SH|601857.SH|601868.SH,2025-07-02,9,False,9,1.0,True,-0.001614480464284407,0.0,-0.001614480464284407,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,True,9,3,0,0,0.55,000001.SZ|600039.SH|600064.SH|600502.SH|600908.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,3,0.11538461538461539,11,True,-0.009262714018365292,-0.008662714018365292,-0.30000000000000004,-0.30000000000000004,10.0
2025-07-02,2025-07-03,20,True,20,1.0,True,0.0018669711476953842,0.0005,0.0013669711476953842,0.25,0.25,0.25,0.5,0.25,0.25,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000001.SZ|000157.SZ|000333.SZ|002001.SZ|600015.SH|600050.SH|600219.SH|600502.SH|600582.SH|600598.SH|600905.SH|601006.SH|601166.SH|601288.SH|601390.SH|601668.SH|601728.SH|601868.SH|601919.SH|601989.SH,000001.SZ|600502.SH|601166.SH|601919.SH,000157.SZ|000333.SZ|002001.SZ|600015.SH|600050.SH|600219.SH|600582.SH|600598.SH|600905.SH|601006.SH|601288.SH|601390.SH|601668.SH|601728.SH|601868.SH|601989.SH,2025-07-03,8,False,8,1.0,True,0.001678546357975036,5e-05,0.0016285463579750361,0.0,0.0,0.05,0.05,0.025,0.025,False,0.0,0.0,0.0,0.0,0.0,0,True,8,2,0,1,0.6,000001.SZ|600064.SH|600502.SH|600908.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,4,0.16666666666666666,10,True,-0.0001884247897203481,0.000261575210279652,-0.225,-0.25,10.0
2025-07-03,2025-07-04,20,True,20,1.0,True,0.0050183341512281265,0.0005,0.004518334151228126,0.25,0.25,0.25,0.5,0.25,0.25,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000157.SZ|000333.SZ|000651.SZ|000725.SZ|002340.SZ|600015.SH|600050.SH|600219.SH|600502.SH|600582.SH|600905.SH|600908.SH|601006.SH|601169.SH|601288.SH|601390.SH|601668.SH|601728.SH|601868.SH|601919.SH,600502.SH|600908.SH|601668.SH|601919.SH,000157.SZ|000333.SZ|000651.SZ|000725.SZ|002340.SZ|600015.SH|600050.SH|600219.SH|600582.SH|600905.SH|601006.SH|601169.SH|601288.SH|601390.SH|601728.SH|601868.SH,2025-07-04,9,False,9,1.0,True,0.0037427564018636624,5e-05,0.0036927564018636623,0.11111111111111116,0.05,0.0,0.05,0.025,0.025,False,0.0,0.0,0.0,0.0,0.0,0,True,8,1,1,0,0.55,000001.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,4,0.16,10,True,-0.001275577749364464,-0.0008255777493644638,-0.225,-0.13888888888888884,10.0
2025-07-04,2025-07-07,20,True,20,1.0,True,0.0021287807599777446,0.00030000000000000003,0.0018287807599777447,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.30000000000000004,0.15000000000000002,0.15000000000000002,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,13,000333.SZ|000338.SZ|000651.SZ|600015.SH|600050.SH|600219.SH|600502.SH|600582.SH|600900.SH|600905.SH|600908.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601668.SH|601728.SH|601868.SH|601919.SH,600502.SH|600908.SH|601668.SH|601919.SH,000333.SZ|000338.SZ|000651.SZ|600015.SH|600050.SH|600219.SH|600582.SH|600900.SH|600905.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601728.SH|601868.SH,2025-07-07,10,False,10,1.0,True,0.002003707047728437,5e-05,0.001953707047728437,0.09999999999999998,0.05,0.0,0.05,0.025,0.025,False,0.0,0.0,0.0,0.0,0.0,0,True,9,1,1,0,0.5,000001.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601186.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,4,0.15384615384615385,11,True,-0.00012507371224930756,0.00012492628775069223,-0.12500000000000003,-0.050000000000000044,10.0
2025-07-07,2025-07-08,20,True,20,1.0,True,-0.002439782989005263,0.0005,-0.002939782989005263,0.25,0.25,0.25,0.5,0.25,0.25,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000333.SZ|000338.SZ|000651.SZ|003816.SZ|600008.SH|600015.SH|600050.SH|600502.SH|600900.SH|600905.SH|601169.SH|601288.SH|601336.SH|601390.SH|601668.SH|601669.SH|601728.SH|601916.SH|601919.SH|601989.SH,600008.SH|600502.SH|601668.SH|601919.SH,000333.SZ|000338.SZ|000651.SZ|003816.SZ|600015.SH|600050.SH|600900.SH|600905.SH|601169.SH|601288.SH|601336.SH|601390.SH|601669.SH|601728.SH|601916.SH|601989.SH,2025-07-08,12,False,12,1.0,True,-0.000471034359076683,0.0001,-0.000571034359076683,0.16666666666666663,0.1,0.0,0.1,0.05,0.05,False,0.0,0.0,0.0,0.0,0.0,0,True,10,1,2,0,0.3999999999999999,000001.SZ|002124.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601186.SH|601390.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,5,0.18518518518518517,11,True,0.00196874862992858,0.0023687486299285797,-0.2,-0.08333333333333337,10.0
2025-07-08,2025-07-09,20,True,20,1.0,True,0.0026920243971497223,0.0004,0.002292024397149722,0.19999999999999996,0.2,0.2,0.4,0.2,0.2,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000651.SZ|000725.SZ|003816.SZ|600015.SH|600050.SH|600502.SH|600900.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601668.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH|601919.SH|601989.SH,600015.SH|600502.SH|601668.SH|601919.SH,000651.SZ|000725.SZ|003816.SZ|600050.SH|600900.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH|601989.SH,2025-07-09,12,False,12,1.0,True,0.005355178010766781,0.0,0.005355178010766781,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,True,12,2,0,0,0.3999999999999999,000001.SZ|002124.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601186.SH|601390.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,4,0.14285714285714285,12,True,0.0026631536136170588,0.003063153613617059,-0.2,-0.19999999999999996,10.0
2025-07-09,2025-07-10,20,True,20,1.0,True,0.0061940645892191795,0.0004,0.005794064589219179,0.19999999999999996,0.2,0.2,0.4,0.2,0.2,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,13,000651.SZ|600038.SH|600050.SH|600502.SH|600598.SH|600905.SH|600908.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601668.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH|601919.SH|601989.SH,600502.SH|600908.SH|601668.SH|601919.SH,000651.SZ|600038.SH|600050.SH|600598.SH|600905.SH|601006.SH|601169.SH|601288.SH|601336.SH|601390.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH|601989.SH,2025-07-10,12,False,12,1.0,True,0.00740421925677009,0.0,0.00740421925677009,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0,True,12,2,0,0,0.3999999999999999,000001.SZ|002124.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601186.SH|601390.SH|601398.SH|601665.SH|601668.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,5,0.18518518518518517,11,True,0.0012101546675509101,0.0016101546675509103,-0.2,-0.19999999999999996,10.0
2025-07-10,2025-07-11,20,True,20,1.0,True,-0.0025243226921659095,0.0005,-0.0030243226921659095,0.25,0.25,0.25,0.5,0.25,0.25,False,0.0,0.0,0.0,0.0,0.0,0,True,4,16,12,000651.SZ|003816.SZ|600008.SH|600015.SH|600050.SH|600196.SH|600502.SH|600598.SH|601006.SH|601128.SH|601169.SH|601336.SH|601390.SH|601668.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH|601919.SH,600008.SH|600502.SH|601668.SH|601919.SH,000651.SZ|003816.SZ|600015.SH|600050.SH|600196.SH|600598.SH|601006.SH|601128.SH|601169.SH|601336.SH|601390.SH|601669.SH|601727.SH|601728.SH|601857.SH|601916.SH,2025-07-11,12,False,12,1.0,True,-0.0045282147381467686,0.0001,-0.004628214738146769,0.08333333333333337,0.05,0.05,0.1,0.05,0.05,False,0.0,0.0,0.0,0.0,0.0,0,True,11,1,1,1,0.3999999999999999,000001.SZ|002124.SZ|600008.SH|600064.SH|600502.SH|600908.SH|601186.SH|601390.SH|601665.SH|601668.SH|601818.SH|601919.SH,portfolio_backtester.incumbent_requalification.v1:2a30b44767ea9b62,5,0.18518518518518517,11,True,-0.002003892045980859,-0.0016038920459808593,-0.2,-0.16666666666666663,10.0
